Subject,Trial,Condition,Time,correct,response,angle,correct/incorrect
41,1,R2_3_3_2_0Y0.pct,2058,[n],[n],0,True
41,2,R3_4_3_2_90Y150.pct,4156,[n],[n],150,True
41,3,2_4_4_2_0Y150.pct,2457,[b],[b],150,True
41,4,3_3_3_2_0Y100.pct,5330,[b],[b],100,True
41,5,3_3_3_3_90Y50.pct,5080,[b],[b],50,True
41,6,R2_4_4_2_0Y50.pct,3782,[n],[n],50,True
41,7,R3_3_3_3_90Y100.pct,2830,[n],[n],100,True
41,8,2_3_3_2_0Y0.pct,1979,[b],[b],0,True
41,9,R3_4_3_3_180Y150.pct,4033,[n],[n],150,True
41,10,2_4_4_2_180Y150.pct,7450,[b],[b],150,True
41,11,R3_3_4_2_0Y50.pct,3684,[n],[n],50,True
41,12,R2_3_4_2_90Y0.pct,1626,[n],[n],0,True
41,13,3_3_3_3_180Y0.pct,1940,[b],[b],0,True
41,14,R3_4_3_3_180Y100.pct,4023,[n],[n],100,True
41,15,2_4_4_3_90Y100.pct,3366,[b],[b],100,True
41,16,3_4_3_2_90Y50.pct,3297,[b],[b],50,True
41,17,R2_4_4_3_90Y100.pct,4260,[n],[n],100,True
41,18,2_3_3_2_0Y150.pct,5970,[b],[b],150,True
41,19,R2_3_4_2_90Y50.pct,2055,[n],[n],50,True
41,20,2_3_4_2_90Y50.pct,1750,[b],[b],50,True
41,21,R2_4_4_2_180Y100.pct,2133,[n],[n],100,True
41,22,R2_4_4_2_0Y0.pct,1295,[n],[n],0,True
41,23,3_4_3_2_90Y0.pct,1679,[b],[b],0,True
41,24,R3_3_3_2_0Y150.pct,4490,[n],[n],150,True
41,25,R3_4_4_3_180Y150.pct,2591,[n],[n],150,True
41,26,R3_4_3_3_180Y50.pct,1447,[n],[n],50,True
41,27,3_4_3_3_180Y50.pct,4915,[b],[b],50,True
41,28,3_3_3_3_90Y100.pct,3802,[b],[b],100,True
41,29,2_4_4_2_180Y0.pct,1323,[b],[b],0,True
41,30,R3_4_3_2_90Y0.pct,1448,[n],[n],0,True
41,31,3_3_4_2_0Y150.pct,5703,[b],[b],150,True
41,32,R3_3_4_2_0Y100.pct,3401,[n],[n],100,True
41,33,3_3_3_3_180Y50.pct,3545,[b],[b],50,True
41,34,3_3_4_2_0Y100.pct,4563,[b],[b],100,True
41,35,3_4_4_3_180Y150.pct,6882,[b],[b],150,True
41,36,R3_3_3_3_180Y0.pct,2589,[n],[n],0,True
41,37,3_4_3_3_180Y100.pct,2733,[b],[b],100,True
41,38,R3_3_3_3_180Y150.pct,3992,[n],[n],150,True
41,39,3_4_3_3_180Y0.pct,1132,[b],[b],0,True
41,40,R3_3_3_3_90Y50.pct,1163,[n],[n],50,True
41,41,2_4_4_3_90Y150.pct,N/A,[N/A],[b],150,False
41,42,R3_4_3_3_180Y0.pct,1477,[n],[n],0,True
41,43,3_3_3_3_180Y100.pct,2487,[n],[b],100,False
41,44,R2_3_4_2_90Y150.pct,2768,[n],[n],150,True
41,45,R2_3_3_2_0Y50.pct,1100,[n],[n],50,True
41,46,R2_3_4_2_90Y100.pct,1778,[n],[n],100,True
41,47,3_4_4_3_180Y0.pct,1259,[b],[b],0,True
41,48,3_4_4_3_180Y50.pct,2323,[b],[b],50,True
41,49,R2_4_4_2_0Y100.pct,1816,[n],[n],100,True
41,50,R2_3_3_2_0Y150.pct,2123,[n],[n],150,True
41,51,3_3_4_2_0Y0.pct,1065,[b],[b],0,True
41,52,R2_4_4_3_90Y0.pct,1577,[n],[n],0,True
41,53,3_4_4_3_180Y100.pct,3189,[b],[b],100,True
41,54,R2_4_4_2_180Y50.pct,985,[n],[n],50,True
41,55,3_3_3_2_0Y150.pct,1749,[n],[b],150,False
41,56,2_4_4_2_0Y50.pct,1192,[b],[b],50,True
41,57,R2_4_4_2_0Y150.pct,1559,[n],[n],150,True
41,58,R3_4_3_2_90Y100.pct,1876,[n],[n],100,True
41,59,2_3_4_2_90Y150.pct,2071,[b],[b],150,True
41,60,3_4_3_2_90Y100.pct,2639,[b],[b],100,True
41,61,2_4_4_3_90Y0.pct,1132,[b],[b],0,True
41,62,R2_4_4_2_180Y0.pct,1045,[n],[n],0,True
41,63,R2_4_4_3_90Y50.pct,1286,[n],[n],50,True
41,64,2_4_4_3_90Y50.pct,1460,[b],[b],50,True
41,65,R2_4_4_2_180Y150.pct,1299,[n],[n],150,True
41,66,3_3_3_3_90Y0.pct,2436,[b],[b],0,True
41,67,3_3_3_3_180Y150.pct,3428,[b],[b],150,True
41,68,R3_3_3_3_90Y0.pct,1122,[n],[n],0,True
41,69,R3_3_3_2_0Y50.pct,1291,[n],[n],50,True
41,70,2_4_4_2_180Y50.pct,1602,[b],[b],50,True
41,71,2_4_4_2_0Y100.pct,1836,[b],[b],100,True
41,72,R3_3_3_2_0Y100.pct,1955,[b],[n],100,False
41,73,2_3_4_2_90Y100.pct,1507,[b],[b],100,True
41,74,R3_3_3_3_180Y100.pct,3206,[n],[n],100,True
41,75,3_3_3_3_90Y150.pct,2553,[n],[b],150,False
41,76,R3_3_4_2_0Y0.pct,1564,[n],[n],0,True
41,77,3_3_3_2_0Y0.pct,1068,[b],[b],0,True
41,78,3_3_3_2_0Y50.pct,2207,[b],[b],50,True
41,79,R3_3_3_3_180Y50.pct,973,[n],[n],50,True
41,80,R3_3_3_3_90Y150.pct,1799,[n],[n],150,True
41,81,R3_4_4_3_180Y50.pct,3949,[n],[n],50,True
41,82,2_3_4_2_90Y0.pct,895,[b],[b],0,True
41,83,R3_3_4_2_0Y150.pct,3684,[n],[n],150,True
41,84,3_3_4_2_0Y50.pct,4544,[b],[b],50,True
41,85,2_4_4_2_180Y100.pct,2132,[b],[b],100,True
41,86,R3_4_4_3_180Y0.pct,2715,[n],[n],0,True
41,87,3_4_3_3_180Y150.pct,3498,[b],[b],150,True
41,88,R3_4_4_3_180Y100.pct,3005,[n],[n],100,True
41,89,R2_3_3_2_0Y100.pct,2301,[n],[n],100,True
